	0	1
0	May 4th 2002	http://www.profightdb.com/cards/wwf/insurrextion-3902-135.html
1	Apr 30th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1829.html
2	Apr 30th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1828.html
3	Apr 29th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1827.html
4	Apr 29th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1826.html
5	Apr 23rd 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1825.html
6	Apr 23rd 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1824.html
7	Apr 22nd 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1823.html
8	Apr 22nd 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1822.html
9	Apr 21st 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-1821.html
0	Apr 21st 2002	http://www.profightdb.com/cards/wwf/backlash-3902-134.html
1	Apr 16th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1820.html
2	Apr 16th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1819.html
3	Apr 15th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1818.html
4	Apr 15th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1817.html
5	Apr 9th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1816.html
6	Apr 9th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1815.html
7	Apr 8th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1814.html
8	Apr 8th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1813.html
9	Apr 2nd 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1812.html
0	Apr 2nd 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1811.html
1	Apr 1st 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1810.html
2	Apr 1st 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1809.html
3	Mar 28th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19233.html
4	Mar 28th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19231.html
5	Mar 27th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19235.html
6	Mar 27th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19234.html
7	Mar 26th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1808.html
8	Mar 26th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1807.html
9	Mar 25th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1806.html
0	Mar 25th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1805.html
1	Mar 19th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1804.html
2	Mar 19th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1803.html
3	Mar 18th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1802.html
4	Mar 18th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1801.html
5	Mar 17th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-1800.html
6	Mar 17th 2002	http://www.profightdb.com/cards/wwf/wrestlemania-x8-133.html
7	Mar 12th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1799.html
8	Mar 12th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1798.html
9	Mar 11th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1797.html
0	Mar 11th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1796.html
1	Mar 10th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19237.html
2	Mar 9th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19238.html
3	Mar 8th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19239.html
4	Mar 7th 2002	http://www.profightdb.com/cards/wwf/smackdown-1795.html
5	Mar 7th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1794.html
6	Mar 4th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1793.html
7	Mar 4th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1792.html
8	Mar 4th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19240.html
9	Mar 3rd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19242.html
0	Mar 3rd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19241.html
1	Mar 2nd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19243.html
2	Mar 1st 2002	http://www.profightdb.com/cards/wwf/wwf-live-19245.html
3	Mar 1st 2002	http://www.profightdb.com/cards/wwf/wwf-live-19244.html
4	Feb 26th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1791.html
5	Feb 26th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1790.html
6	Feb 25th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1789.html
7	Feb 25th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1788.html
8	Feb 24th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19251.html
9	Feb 23rd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19252.html
0	Feb 19th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1787.html
1	Feb 19th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1786.html
2	Feb 18th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1785.html
3	Feb 18th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1784.html
4	Feb 17th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-1783.html
5	Feb 17th 2002	http://www.profightdb.com/cards/wwf/no-way-out-3902-132.html
6	Feb 16th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19253.html
7	Feb 12th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1782.html
8	Feb 12th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1781.html
9	Feb 11th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1780.html
0	Feb 11th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1779.html
1	Feb 10th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19263.html
2	Feb 10th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19254.html
3	Feb 9th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19265.html
4	Feb 9th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19264.html
5	Feb 5th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1778.html
6	Feb 5th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1777.html
7	Feb 4th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1776.html
8	Feb 4th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1775.html
9	Feb 3rd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19273.html
0	Feb 3rd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19271.html
1	Feb 2nd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19275.html
2	Feb 2nd 2002	http://www.profightdb.com/cards/wwf/wwf-live-19274.html
3	Jan 29th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1774.html
4	Jan 29th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1773.html
5	Jan 28th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1772.html
6	Jan 28th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1771.html
7	Jan 27th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19277.html
8	Jan 27th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19276.html
9	Jan 26th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19281.html
0	Jan 26th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19280.html
1	Jan 22nd 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1770.html
2	Jan 22nd 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1769.html
3	Jan 21st 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1768.html
4	Jan 21st 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1767.html
5	Jan 20th 2002	http://www.profightdb.com/cards/wwf/royal-rumble-3902-131.html
6	Jan 19th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19282.html
7	Jan 15th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1766.html
8	Jan 15th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1765.html
9	Jan 14th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1764.html
0	Jan 14th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1763.html
1	Jan 13th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19284.html
2	Jan 13th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19283.html
3	Jan 12th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19286.html
4	Jan 12th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19285.html
5	Jan 8th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1762.html
6	Jan 8th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1761.html
7	Jan 7th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1760.html
8	Jan 7th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1759.html
9	Jan 6th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19288.html
0	Jan 6th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19287.html
1	Jan 5th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19290.html
