	winner	outcome	loser	duration	matchtype	date	city	state
0	Seth Rollins	def. (pin)	Dolph Ziggler		&nbsp;	Oct 14th 2014	Birmingham	Alabama
1	A. J. Lee	def. (pin)	Layla		&nbsp;	Oct 14th 2014	Birmingham	Alabama
2	Jey Uso	def. (pin)	Goldust		6-person tag	Oct 14th 2014	Birmingham	Alabama
3	Nikki Bella	def. (pin)	Naomi		&nbsp;	Oct 14th 2014	Birmingham	Alabama
4	Dean Ambrose	def. (DQ)	Kane		&nbsp;	Oct 14th 2014	Birmingham	Alabama
0	R-Truth	def. (pin)	Tyson Kidd	03:34	&nbsp;	Oct 14th 2014	Birmingham	Alabama
1	Cesaro	def. (pin)	Justin Gabriel	04:41	&nbsp;	Oct 14th 2014	Birmingham	Alabama
2	Rusev	def. (sub)	Big E	11:50	&nbsp;	Oct 14th 2014	Birmingham	Alabama
0	Dean Ambrose	def. (pin)	Goldust	14:24	triple-threat tag	Oct 13th 2014	Atlanta	Georgia
1	AJ	def. (pin)	Alicia Fox	01:48	&nbsp;	Oct 13th 2014	Atlanta	Georgia
2	Randy Orton	def. (pin)	Dolph Ziggler	18:37	&nbsp;	Oct 13th 2014	Atlanta	Georgia
3	Seth Rollins	def. (pin)	Jack Swagger	15:31	&nbsp;	Oct 13th 2014	Atlanta	Georgia
4	Rusev	def. (DQ)	The Big Show	14:13	&nbsp;	Oct 13th 2014	Atlanta	Georgia
5	The Miz	def. (CO)	Sheamus	05:26	&nbsp;	Oct 13th 2014	Atlanta	Georgia
6	Brie Bella	def. (pin)	Cameron	03:36	6-person tag	Oct 13th 2014	Atlanta	Georgia
7	Dean Ambrose	def.	John Cena	06:27	no holds barred contract on a pole	Oct 13th 2014	Atlanta	Georgia
0	Bo Dallas	def. (pin)	Zack Ryder		&nbsp;	Oct 13th 2014	Atlanta	Georgia
1	Cesaro	def. (pin)	Kofi Kingston		&nbsp;	Oct 13th 2014	Atlanta	Georgia
0	R-Truth	def. (pin)	Fandango		&nbsp;	Oct 11th 2014	Macon	Georgia
1	Zack Ryder	def. (pin)	Fandango		&nbsp;	Oct 11th 2014	Macon	Georgia
2	The Great Khali	def. (pin)	Brad Maddox		&nbsp;	Oct 11th 2014	Macon	Georgia
3	Brie Bella	def. (pin)	Alicia Fox		&nbsp;	Oct 11th 2014	Macon	Georgia
4	Rusev	def. (sub)	Jack Swagger		&nbsp;	Oct 11th 2014	Macon	Georgia
5	Adam Rose	def. (pin)	"Damien ""Miz-dow"""		&nbsp;	Oct 11th 2014	Macon	Georgia
6	Dolph Ziggler	def. (pin)	Cesaro		&nbsp;	Oct 11th 2014	Macon	Georgia
7	Goldust	def. (pin)	Jey Uso		&nbsp;	Oct 11th 2014	Macon	Georgia
8	Dean Ambrose	def. (pin)	Kane		street fight	Oct 11th 2014	Macon	Georgia
0	John Cena	def. (pin)	Bray Wyatt		&nbsp;	Oct 11th 2014	Kuala Lumpur	Federal Territory
1	Adrian Neville	def. (pin)	Bo Dallas		fatal 4-way	Oct 11th 2014	Kuala Lumpur	Federal Territory
2	The Big Show	def. (pin)	The Miz		&nbsp;	Oct 11th 2014	Kuala Lumpur	Federal Territory
3	Diego	def. (pin)	Heath Slater		&nbsp;	Oct 11th 2014	Kuala Lumpur	Federal Territory
4	A. J. Lee	def. (sub)	Paige		&nbsp;	Oct 11th 2014	Kuala Lumpur	Federal Territory
5	Big E	def. (pin)	Erick Rowan		&nbsp;	Oct 11th 2014	Kuala Lumpur	Federal Territory
6	Sheamus	def. (pin)	Seth Rollins		&nbsp;	Oct 11th 2014	Kuala Lumpur	Federal Territory
0	Big E	def. (pin)	Erick Rowan		&nbsp;	Oct 10th 2014	Kuala Lumpur	Federal Territory
1	Adrian Neville	def. (pin)	Sami Zayn		&nbsp;	Oct 10th 2014	Kuala Lumpur	Federal Territory
2	Diego	def. (pin)	Heath Slater		&nbsp;	Oct 10th 2014	Kuala Lumpur	Federal Territory
3	A. J. Lee	def. (pin)	Paige		&nbsp;	Oct 10th 2014	Kuala Lumpur	Federal Territory
4	The Big Show	def. (pin)	Bray Wyatt		&nbsp;	Oct 10th 2014	Kuala Lumpur	Federal Territory
5	Sin Cara	def. (pin)	Bo Dallas		&nbsp;	Oct 10th 2014	Kuala Lumpur	Federal Territory
6	Sheamus	def. (pin)	The Miz		&nbsp;	Oct 10th 2014	Kuala Lumpur	Federal Territory
7	John Cena	def. (pin)	Seth Rollins		street fight	Oct 10th 2014	Kuala Lumpur	Federal Territory
0	Adrian Neville	def. (pin)	Sami Zayn		dark &nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
1	Kane	def. (pin)	Adam Rose		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
2	A. J. Lee	def. (sub)	Alicia Fox		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
3	Seth Rollins	def. (pin)	Kofi Kingston		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
4	Rusev	def. (sub)	Dolph Ziggler		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
5	Diego	def. (pin)	Bo Dallas		16-person tag	Oct 7th 2014	Philadelphia	Pennsylvania
6	Seth Rollins	def. (pin)	Kofi Kingston		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
7	Dean Ambrose	def. (pin)	Kane		dark &nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
0	Tyler Breeze	def. (pin)	Xavier Woods		dark &nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
1	Dolph Ziggler	def. (pin)	Bo Dallas		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
2	Layla	def. (pin)	Brie Bella		handicap tag	Oct 7th 2014	Philadelphia	Pennsylvania
3	Tyson Kidd	def. (pin)	Jack Swagger		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
4	Jey Uso	def. (pin)	Stardust		&nbsp;	Oct 7th 2014	Philadelphia	Pennsylvania
0	Dolph Ziggler	def. (pin)	Cesaro	12:13	6-person tag	Oct 6th 2014	Brooklyn	New York
1	Bo Dallas	def. (CO)	Mark Henry	01:54	&nbsp;	Oct 6th 2014	Brooklyn	New York
2	Brie Bella	def. (pin)	Summer Rae	01:57	One Arm Tied Behind Their Back Match	Oct 6th 2014	Brooklyn	New York
3	Jack Swagger	def. (sub)	Tyson Kidd	03:17	&nbsp;	Oct 6th 2014	Brooklyn	New York
4	El Torito	def. (pin)	Mini-Gator	02:19	&nbsp;	Oct 6th 2014	Brooklyn	New York
5	Alicia Fox	def. (pin)	A. J. Lee	02:55	&nbsp;	Oct 6th 2014	Brooklyn	New York
6	The Miz	def. (pin)	Sheamus	10:18	&nbsp;	Oct 6th 2014	Brooklyn	New York
7	John Cena	def. (DQ)	Kane	04:40	handicap tag	Oct 6th 2014	Brooklyn	New York
0	Zack Ryder	def. (pin)	Heath Slater		&nbsp;	Oct 6th 2014	Brooklyn	New York
1	Naomi	def. (pin)	Cameron		&nbsp;	Oct 6th 2014	Brooklyn	New York
0	Jey Uso	def. (pin)	Erick Rowan		&nbsp;	Oct 5th 2014	Bridgeport	Connecticut
1	Sami Zayn	def. (pin)	Tyson Kidd		&nbsp;	Oct 5th 2014	Bridgeport	Connecticut
2	A. J. Lee	def. (pin)	Paige		2 out of 3 falls	Oct 5th 2014	Bridgeport	Connecticut
3	R-Truth	def. (pin)	The Miz		&nbsp;	Oct 5th 2014	Bridgeport	Connecticut
4	Sheamus	def. (pin)	Bray Wyatt		&nbsp;	Oct 5th 2014	Bridgeport	Connecticut
5	Jack Swagger	def. (sub)	Bo Dallas		&nbsp;	Oct 5th 2014	Bridgeport	Connecticut
6	Dolph Ziggler	def. (pin)	Cesaro		&nbsp;	Oct 5th 2014	Bridgeport	Connecticut
7	John Cena	def. (pin)	Seth Rollins		street fight	Oct 5th 2014	Bridgeport	Connecticut
0	Diego	def. (pin)	Heath Slater		&nbsp;	Oct 5th 2014	Allentown	Pennsylvania
1	Adrian Neville	def. (pin)	Tyler Breeze		&nbsp;	Oct 5th 2014	Allentown	Pennsylvania
2	Brie Bella	def. (pin)	Cameron		6-person tag	Oct 5th 2014	Allentown	Pennsylvania
3	Big E	def. (pin)	Goldust		&nbsp;	Oct 5th 2014	Allentown	Pennsylvania
4	Adam Rose	def. (pin)	"Damien ""Miz-dow"""		&nbsp;	Oct 5th 2014	Allentown	Pennsylvania
5	Mark Henry	def. (DQ)	Rusev		&nbsp;	Oct 5th 2014	Allentown	Pennsylvania
