	0	1	2	3
0	Oct 14th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-19732.html	Birmingham	Alabama
1	Oct 14th 2014	http://www.profightdb.com/cards/wwe/main-event-19730.html	Birmingham	Alabama
2	Oct 13th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-19722.html	Atlanta	Georgia
3	Oct 13th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-19721.html	Atlanta	Georgia
4	Oct 11th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19701.html	Macon	Georgia
5	Oct 11th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19691.html	Kuala Lumpur	Federal Territory
6	Oct 10th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19661.html	Kuala Lumpur	Federal Territory
7	Oct 7th 2014	http://www.profightdb.com/cards/wwe/smackdown-15th-anniversary-show-taping-19614.html	Philadelphia	Pennsylvania
8	Oct 7th 2014	http://www.profightdb.com/cards/wwe/main-event-19613.html	Philadelphia	Pennsylvania
9	Oct 6th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-19593.html	Brooklyn	New York
0	Oct 6th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-19592.html	Brooklyn	New York
1	Oct 5th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19587.html	Bridgeport	Connecticut
2	Oct 5th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19581.html	Allentown	Pennsylvania
3	Oct 4th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19566.html	Trenton	New Jersey
4	Oct 4th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19565.html	Providence	Rhode Island
5	Oct 3rd 2014	http://www.profightdb.com/cards/wwe/wwe-live-19530.html	Toronto	Ontario
6	Sep 30th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-19367.html	Milwaukee	Wisconsin
7	Sep 30th 2014	http://www.profightdb.com/cards/wwe/main-event-19366.html	Milwaukee	Wisconsin
8	Sep 29th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-19339.html	Chicago	Illinois
9	Sep 29th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-19338.html	Chicago	Illinois
0	Sep 28th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19318.html	Moline	Illinois
1	Sep 28th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19308.html	Toledo	Ohio
2	Sep 27th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19293.html	Atlantic City	New Jersey
3	Sep 27th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19292.html	Youngstown	Ohio
4	Sep 26th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19236.html	East Rutherford	New Jersey
5	Sep 23rd 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-19181.html	Little Rock	Arkansas
6	Sep 23rd 2014	http://www.profightdb.com/cards/wwe/main-event-19167.html	Little Rock	Arkansas
7	Sep 22nd 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-19154.html	Memphis	Tennessee
8	Sep 22nd 2014	http://www.profightdb.com/cards/wwe/superstars-taping-19153.html	Memphis	Tennessee
9	Sep 21st 2014	http://www.profightdb.com/cards/wwe/night-of-champions-3914-19120.html	Nashville	Tennessee
0	Sep 20th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19113.html	Huntsville	Alabama
1	Sep 20th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19107.html	Lexington	Kentucky
2	Sep 19th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19086.html	Charleston	West Virginia
3	Sep 16th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-19060.html	Biloxi	Mississippi
4	Sep 16th 2014	http://www.profightdb.com/cards/wwe/main-event-19059.html	Biloxi	Mississippi
5	Sep 15th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-19057.html	Lafayette	Louisiana
6	Sep 15th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-19056.html	Lafayette	Louisiana
7	Sep 14th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19053.html	Monroe	Louisiana
8	Sep 14th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19051.html	Boston	Massachusetts
9	Sep 13th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19048.html	Jackson	Mississippi
0	Sep 13th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19047.html	Springfield	Massachusetts
1	Sep 12th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19043.html	White Plains	New York
2	Sep 9th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-19002.html	Wilkes-Barre	Pennsylvania
3	Sep 9th 2014	http://www.profightdb.com/cards/wwe/main-event-19001.html	Wilkes-Barre	Pennsylvania
4	Sep 8th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18995.html	Baltimore	Maryland
