	winner	outcome	loser	duration	matchtype	date	city	state
0	Rob Van Dam	def. (DQ)	Eddie Guerrero	11:23	&nbsp;	May 4th 2002	London	England
1	Jacqueline	def. (pin)	Jazz	07:40	&nbsp;	May 4th 2002	London	England
2	X-Pac	def. (pin)	Bradshaw	08:47	&nbsp;	May 4th 2002	London	England
3	Booker T.	def. (pin)	Steven Richards	10:32	hardcore	May 4th 2002	London	England
4	Jeff Hardy	def. (pin)	Brock Lesnar	06:54	&nbsp;	May 4th 2002	London	England
5	Spike Dudley	def. (pin)	William Regal	04:56	&nbsp;	May 4th 2002	London	England
6	Steve Austin	def. (pin)	The Big Show	16:00	&nbsp;	May 4th 2002	London	England
7	Triple H	def. (pin)	The Undertaker	14:29	&nbsp;	May 4th 2002	London	England
0	Billy	def. (pin)	Rikishi		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
1	Randy Orton	def. (DQ)	Hardcore Holly		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
2	Kurt Angle	def. (pin)	Edge		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
3	Christian	def. (pin)	Faarooq		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
4	Tajiri	def. (pin)	Billy Kidman		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
5	Hulk Hogan	def. (pin)	Chris Jericho		no disqualification	Apr 30th 2002	Pittsburgh	Pennsylvania
0	The Godfather	def.	Tazz		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
1	The Hurricane	def.	Albert		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
2	Hugh Morrus	def.	Sho Funaki		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
3	Chavo Guerrero	def.	Maven		&nbsp;	Apr 30th 2002	Pittsburgh	Pennsylvania
0	Eddie Guerrero	def. (pin)	Jeff Hardy		&nbsp;	Apr 29th 2002	Buffalo	New York
1	Rob Van Dam	def.	Booker T.		&nbsp;	Apr 29th 2002	Buffalo	New York
2	Brock Lesnar	def.	Shawn Stasiak		&nbsp;	Apr 29th 2002	Buffalo	New York
3	Bradshaw	def.	Scott Hall		&nbsp;	Apr 29th 2002	Buffalo	New York
4	Steven Richards	def. (pin)	Bubba Ray Dudley		hardcore	Apr 29th 2002	Buffalo	New York
