	0	1	2	3
0	May 4th 2002	http://www.profightdb.com/cards/wwf/insurrextion-3902-135.html	London	England
1	Apr 30th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1829.html	Pittsburgh	Pennsylvania
2	Apr 30th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1828.html	Pittsburgh	Pennsylvania
3	Apr 29th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1827.html	Buffalo	New York
4	Apr 29th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1826.html	Buffalo	New York
5	Apr 23rd 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1825.html	Peoria	Illinois
6	Apr 23rd 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1824.html	Peoria	Illinois
7	Apr 22nd 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1823.html	St. Louis	Missouri
8	Apr 22nd 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1822.html	St. Louis	Missouri
9	Apr 21st 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-1821.html	Kansas City	Missouri
0	Apr 21st 2002	http://www.profightdb.com/cards/wwf/backlash-3902-134.html	Kansas City	Missouri
1	Apr 16th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1820.html	Houston	Texas
2	Apr 16th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1819.html	Houston	Texas
3	Apr 15th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1818.html	College Station	Texas
4	Apr 15th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1817.html	College Station	Texas
5	Apr 9th 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1816.html	Tucson	Arizona
6	Apr 9th 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1815.html	Tucson	Arizona
7	Apr 8th 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1814.html	Phoenix	Arizona
8	Apr 8th 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1813.html	Phoenix	Arizona
9	Apr 2nd 2002	http://www.profightdb.com/cards/wwf/smackdown-taping-1812.html	Rochester	New York
0	Apr 2nd 2002	http://www.profightdb.com/cards/wwf/jakked-taping-1811.html	Rochester	New York
1	Apr 1st 2002	http://www.profightdb.com/cards/wwf/monday-night-raw-1810.html	Albany	New York
2	Apr 1st 2002	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1809.html	Albany	New York
3	Mar 28th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19233.html	East Rutherford	New Jersey
4	Mar 28th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19231.html	Jacksonville	Florida
5	Mar 27th 2002	http://www.profightdb.com/cards/wwf/wwf-live-19235.html	Gainesville	Florida
